	Tweet	Username	Date	Hashtags	Likes	Retweets	Replies	Url	Score
QUERY	joe biden won elections
0	Joe Biden lost the election.	Nick Adams	Sun Dec 06 13:49:30 +0000 2020	[]	9695	2480	253	https://twitter.com/i/web/status/1335582137433681921	0.0	0.7079262628374482
1	Joe Biden was “Selected” not elected.	The TRUMP PAGE 🇺🇸	Mon Dec 07 17:45:45 +0000 2020	[]	411	105	20	https://twitter.com/i/web/status/1336003980594270208	0.0	0.5255820457511882
2	Good morning. Joe biden is not president elect. That is all.	President elect-Redwave	Mon Dec 07 13:05:32 +0000 2020	[]	0	1	0	https://twitter.com/i/web/status/1335933461782269953	0.0	0.49007139785462694
3	President-elect Joe Biden becomes President Joe Biden in 44 days.	Robert Reich	Mon Dec 07 17:00:02 +0000 2020	[]	5168	362	158	https://twitter.com/i/web/status/1335992476633481216	2.0	0.4662087117801051
4	Georgia again certifies election results showing Joe Biden won 	ABC7 Eyewitness News	Mon Dec 07 19:55:51 +0000 2020	[]	176	16	13	https://twitter.com/i/web/status/1336036723529195520	0.0	0.4426285094517104
5	US election results 2020: Joe Biden defeats Donald Trump to win presidency 	Guardian news	Mon Dec 07 17:21:32 +0000 2020	[]	89	16	29	https://twitter.com/i/web/status/1335997887386443779	2.0	0.3699935824443025
6	IT'S OFFICIAL: Georgia has CERTIFIED its election results again, and Joe Biden is still our next President.  And in January, we'll beat #DoubleDealingDavid and #CorruptKelly to flip the senate and win GA again!!!	BrooklynDad_Defiant!	Mon Dec 07 19:32:38 +0000 2020	['DoubleDealingDavid', 'CorruptKelly']	5356	721	98	https://twitter.com/i/web/status/1336030877088964610	2.0	0.3683367120185451
7	How can Joe Biden govern a nation when 6/10 Americans think there was election fraud?	Nick Adams	Sun Dec 06 00:02:36 +0000 2020	[]	993	202	84	https://twitter.com/i/web/status/1335374041981575169	0.0	0.3651958412112474
8	Georgia has officially certified its election results yet again.  Joe Biden will be our President after winning for the 50th time in a single month, yay.	Ricky Davila	Mon Dec 07 21:11:57 +0000 2020	[]	2102	233	39	https://twitter.com/i/web/status/1336055871411896320	2.0	0.36445392220778505
9	Great news for President-elect Joe Biden  via @PalmerReport	Joshua Moreland	Mon Dec 07 21:54:13 +0000 2020	[]	38	14	0	https://twitter.com/i/web/status/1336066510079602690	2.0	0.3568180102299446
10	The Suburbs Helped Elect Joe Biden. Can They Give Democrats the Senate, Too? 	Jon Cooper 🇺🇸	Mon Dec 07 23:33:34 +0000 2020	[]	3	1	0	https://twitter.com/i/web/status/1336091514057994241	0.0	0.3509990467409343
11	Joe Biden won the election because we all came out and supported him. Let’s do this one more time GA and then you can rest awhile. Fight for GA and fight for the rest of us. Vote Warnock and Ossoff for Senate and change America for the better. It’s up to you. Thank you 1/5/21	katherine ✌🏻❤️🎸🌎🧚🌺🌼🌸	Mon Dec 07 19:33:25 +0000 2020	[]	225	76	6	https://twitter.com/i/web/status/1336031075013783552	2.0	0.34916433003201075
12	It's not lost on me that Joe Biden is the president-elect and not once has said get a stimulus check in the hands of the American people.  Absolutely shameful.	Beth	Mon Dec 07 20:25:21 +0000 2020	[]	317	45	17	https://twitter.com/i/web/status/1336044146587541508	0.0	0.34888954579899384
13	Georgia has re-certified the results of the presidential election, reaffirming President-elect Joe Biden as the winner following three counts of ballots, Secretary of State Brad Raffensperger said in a news release https://t.co/e3MBoo0FBq	CNN	Mon Dec 07 20:31:05 +0000 2020	[]	6438	593	617	https://twitter.com/i/web/status/1336045589335838725	0.0	0.3432889789306423
14	"GEORGIA.🚨  BREAKING NEWS: Georgia again confirms Joe Biden ""won"" the state by recertifying election results.   The election recertification includes at least 1.7 million untraceable mail-in ballots, anomalies such as vote-switching &amp; ballot harvesting caught on video."	Kyle Becker	Mon Dec 07 19:21:26 +0000 2020	[]	14429	5827	1085	https://twitter.com/i/web/status/1336028060324401152	1.0	0.3426498910939942
15	Do you believe Joe Biden won Nationally  More votes than any Presidential Election in History?🤔  Biden set a New *Low for the % of counties won by a successful US presidential candidate - just 15%   Trump won 2,497 Counties . . . Biden only 477 Counties /212 &lt; than Obama🤔	Lawyerforlaws	Mon Dec 07 18:30:14 +0000 2020	[]	81	49	10	https://twitter.com/i/web/status/1336015177368694784	0.0	0.33982302726753694
16	So weird that election interference was real to the Democrats until the day they thought Joe Biden won the election	Ashley StClair 🇺🇸	Sun Dec 06 18:18:10 +0000 2020	[]	6875	803	65	https://twitter.com/i/web/status/1335649753141547009	2.0	0.3377711827302091
17	Georgia just re-certified the election. Guess what?? Joe Biden won!!! Again!!! I knew you'd be surprised 👍🏽😃.	Amy Lynn 🍭🌊	Mon Dec 07 22:48:05 +0000 2020	[]	196	26	26	https://twitter.com/i/web/status/1336080065055043584	0.0	0.3346034664299472
18	83% of Republicans don't believe Joe Biden won the 2020 election, new poll says 	Business Insider	Mon Dec 07 15:26:14 +0000 2020	[]	64	23	30	https://twitter.com/i/web/status/1335968868481822720	0.0	0.3275975149692285
