	Tweet	Username	Date	Hashtags	Likes	Retweets	Replies	Url	Score
QUERY	joe biden won elections
2	I'm Corupt, Donald Trump. Ex PRESIDENT OF AMERICA 🇺🇸. 	Senad.kelly@gmail.com	Mon Dec 07 23:25:47 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336089551337639937	0.9771271438997929
3	@JFKLibrary @Luce_52 I nominate President Donald J Trump!!! @realDonaldTrump #ProfileInCourage 	#HoldTheLine!!! ⭐️⭐️⭐️ ❤us	Sat Dec 05 23:08:43 +0000 2020	['ProfileInCourage']	3	2	0	https://twitter.com/i/web/status/1335360483193479173	0.9743031593605271
4	No president has attempted to pardon himself while in office, so if President Donald Trump tries to do so in the next six weeks, he will be venturing into legally untested territory without clear guidance from the Constitution or from judges.​ https://t.co/tWLdPxJdF0	ABC30 Fresno	Mon Dec 07 23:20:18 +0000 2020	[]	2	1	0	https://twitter.com/i/web/status/1336088172590223360	0.9669546402461796
5	No president has attempted to pardon himself while in office, so if President Donald Trump tries to do so in the next six weeks, he will be venturing into legally untested territory without clear guidance from the Constitution or from judges.​ https://t.co/q97Ztt0MOq	ABC 7 Chicago	Mon Dec 07 23:10:27 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336085693353889798	0.9669546402461796
6	"@realDonaldTrump ""We don’t have freedom of the press in this country — we have suppression by the press."" - President Donald Trump"	Kenny	Thu Dec 03 02:05:08 +0000 2020	[]	653	99	33	https://twitter.com/i/web/status/1334317716241575937	0.9621142828089058
7	"@realDonaldTrump ""We don’t have freedom of the press in this country — we have suppression by the press."" - President Donald Trump"	Kenny	Mon Dec 07 02:32:51 +0000 2020	[]	319	57	39	https://twitter.com/i/web/status/1335774241137045505	0.9621142828089058
8	@realDonaldTrump Donald Trump has failed this nation as a president and as a human being. 	Nathan Max	Mon Dec 07 22:15:10 +0000 2020	[]	73	9	0	https://twitter.com/i/web/status/1336071782952914944	0.9604053886535276
9	Retweet if you believe Donald J. Trump is the greatest president in your lifetime. @POTUS @realDonaldTrump 	Ben Owen, 🇺🇸 President-Elect 🇺🇸	Mon Dec 04 15:23:38 +0000 2017	[]	12027	12939	973	https://twitter.com/i/web/status/937703950190510081	0.9602331925222751
10	🤗💗🙏💯 CITIZEN HELPING OUR PRESIDENT DONALD J.TRUMP 🙏 KEEPIN AMERICA 🇺🇸 GREAT 👍	IOWA PATRIOT MAGA USN VET. OLD DOG 🐕 OLD FOOL 😏	Mon Dec 07 22:38:59 +0000 2020	[]	6	2	0	https://twitter.com/i/web/status/1336077777502674949	0.951484501950288
11	@realDonaldTrump More fake news nonsense from the lame duck “president”Donald(the traitor)Trump. #25thAmendmentNow #DonaldTrumpYoureFired #TrumpIsPathetic https://t.co/yyImnUa0o0	Dr. Anonymity	Thu Dec 03 00:32:28 +0000 2020	['25thAmendmentNow', 'DonaldTrumpYoureFired', 'TrumpIsPathetic']	39	14	6	https://twitter.com/i/web/status/1334294397052198912	0.9507991992685904
12	SLEEPY JOE Is Caught Stealing Directly From President Donald Trump.	Bryan Doyle	Mon Dec 07 23:27:43 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336090038526857217	0.9498531096577981
13	@jpietan10 @EmeraldRobinson That is an incorrect prediction, Josh! Have faith! Believe me: PRESIDENT DONALD J TRUMP IS NOT GOING TO TURN OVER THE KEYS TO AMERICA TO A COMMUNIST CABAL!            IT’S NOT GOING TO HAPPEN!!	POSITANO	Mon Dec 07 16:03:27 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1335978237047042056	0.9498082202954129
14	President Obama is Scared of Sasha and Roasts Donald Trump  via @YouTube	davehuff	Mon Dec 07 00:03:35 +0000 2020	[]	0	1	0	https://twitter.com/i/web/status/1335736679634776069	0.9495615029445965
15	🇺🇸💔💞✝️🙏God B with our bloved President Donald J. Trump!!Prayers 4 the LEGAL TEAM!!AS WELL!! 	Gloria E Rodriguez	Sun Dec 06 21:15:30 +0000 2020	[]	0	1	0	https://twitter.com/i/web/status/1335694377667084289	0.9492396642369517
16	Donald Trump is my president.  And I’m feeling mighty protective of my president and my country right about now.  #StopTheSteal #SaveTheRepublic @JennaEllisEsq @RudyGiuliani #SaveAmerica #MAGA #KAG2020 🇺🇸 https://t.co/UBB2BS1UyY	#1776 Donald Trump 🇺🇸	Mon Dec 07 02:29:22 +0000 2020	['StopTheSteal', 'SaveTheRepublic', 'SaveAmerica', 'MAGA', 'KAG2020']	104	38	1	https://twitter.com/i/web/status/1335773363709472768	0.9491984180524518
17	'it just takes ONE brave state' -President Donald J Trump.	Trumpster	Mon Dec 07 22:58:07 +0000 2020	[]	59	15	1	https://twitter.com/i/web/status/1336082590311313408	0.9489581256520868
18	"@tedcruz ""We don’t have freedom of the press in this country — we have suppression by the press."" - President Donald Trump"	Kenny	Mon Dec 07 21:13:43 +0000 2020	[]	516	65	15	https://twitter.com/i/web/status/1336056317123956737	0.9487669552665577
19	"Please advocate for the people, Mr President! ""President Donald Trump: On Oct. 6, Trump openly called for a stimulus deal: 'If I am sent a Stand Alone Bill for Stimulus Checks ($1,200), they will go out to our great people IMMEDIATELY. I am ready to sign right now,' he tweeted."""	Deplorable Me	Mon Dec 07 23:01:27 +0000 2020	[]	5	4	0	https://twitter.com/i/web/status/1336083428618481665	0.9463812571794203
QUERY	elections are a fraud
0	Their no election fraud claims have all been debunked.	hANdsOme seaN	Mon Dec 07 22:09:35 +0000 2020	[]	60	10	2	https://twitter.com/i/web/status/1336070377663987714	0.97575887560702
1	ELECTION IN GEORGIA IS NOW PROVEN TO BE A FRAUD.	Rudy W. Giuliani	Thu Dec 03 22:09:12 +0000 2020	[]	192874	54120	10294	https://twitter.com/i/web/status/1334620731045507073	0.9623388184339304
2	VOTER FRAUD @realDonaldTrump won the 2020 election Treason	Jess 🇺🇸	Mon Dec 07 21:29:51 +0000 2020	[]	319	41	16	https://twitter.com/i/web/status/1336060379131244546	0.961306543754565
3	This claim about election fraud being disputed, is disputed👌👌👌 #BidenCheated2020 	afshin azizian	Sat Dec 05 11:50:39 +0000 2020	['BidenCheated2020']	95	26	4	https://twitter.com/i/web/status/1335189841110294528	0.9610774651977791
4	"@jaketapper ""I won the election"" ""Actually, I won"" ""Fraud!"" ""There was fraud! Big fraud!"" ""I won"" "	Carl Allen	Mon Dec 07 23:21:05 +0000 2020	[]	2	2	0	https://twitter.com/i/web/status/1336088371853221893	0.9598967751336794
5	This 2020 election was the biggest joke ever! Fraud! Fraud! Fraud!	🇺🇸 ✝️ RICK (VOTER FRAUD IS REAL!) ✝️ 🇺🇸	Mon Dec 07 23:13:14 +0000 2020	[]	10	2	0	https://twitter.com/i/web/status/1336086393588748289	0.956677452464805
6	Great summary of election fraud and irregularities. 	Mark Dice	Sun Dec 06 02:35:04 +0000 2020	[]	1702	522	74	https://twitter.com/i/web/status/1335412410446802947	0.9530717689925778
7	@ksorbs The election was over on the 3rd and there is NO fraud. ByeDon! 	Honorable Guilded Dirigible	Mon Nov 30 23:50:03 +0000 2020	[]	87	11	2	https://twitter.com/i/web/status/1333558946808868867	0.952958474030072
8	#THEGREATAWAKENING The claim there is no election fraud is disputed...by the #MillionMAGAMarch @realDonaldTrump  @SidneyPowell1  https://t.co/xoDRNK17GG	bot	Mon Dec 07 23:20:48 +0000 2020	['THEGREATAWAKENING', 'MillionMAGAMarch']	1	1	0	https://twitter.com/i/web/status/1336088298557730817	0.9496596745400506
9	@GenFlynn Assisting in the Election Fraud investigation H/T @stevegrubershow 	Uncensored Abe⭐⭐⭐	Mon Dec 07 23:33:51 +0000 2020	[]	4	3	0	https://twitter.com/i/web/status/1336091581380747264	0.9474093058030516
10	None of the election fraud history matter. None of the current election fraud allegations matter. What matters is that ballot counting transparency was denied by force in key cities. That's the end of the Republic (literally) and more than enough reason to toss out the election. https://t.co/uTZWCqWIcy	Scott Adams	Sun Dec 06 11:37:24 +0000 2020	[]	42093	12074	4064	https://twitter.com/i/web/status/1335548896597004292	0.9473924566782241
11	Election Fraud protest live in AZ now..... 	Sunnyloves45 (Biden Cheated)	Mon Dec 07 23:28:04 +0000 2020	[]	2	1	0	https://twitter.com/i/web/status/1336090129413206018	0.947007160115249
12	@NAACP_LDF Republicans suing everywhere for alleged election fraud while tampering with an election (again) in Georgia.	RayWoodson2.0	Mon Dec 07 22:05:32 +0000 2020	[]	5	2	0	https://twitter.com/i/web/status/1336069359018496000	0.9468373365537511
13	If by now you don't think there was voter fraud in the 2020 Presidential Election you are either willfully ignorant, or thankful it occurred.	JD Sharp	Thu Dec 03 20:07:06 +0000 2020	[]	517	108	85	https://twitter.com/i/web/status/1334589999983910912	0.9462804181305801
14	We cannot allow mail fraud, corruption, voter fraud, and election tampering to stand!   #PAVoterFraud #USPSMailFraud #ExposeUSPS #DemandElectionIntegrity   https://t.co/3sZ52Wsom4	Pennsy ❤️️ The Mighty 200	Wed Dec 02 14:24:02 +0000 2020	['PAVoterFraud', 'USPSMailFraud', 'ExposeUSPS', 'DemandElectionIntegrity']	260	237	10	https://twitter.com/i/web/status/1334141278951497731	0.9456102572207716
15	Ruby Freeman is the face of 2020 election fraud. 	Red Wave Robin 🇺🇸Rise Up Against The Coup🇺🇸	Mon Dec 07 13:40:07 +0000 2020	[]	63	51	3	https://twitter.com/i/web/status/1335942164862275585	0.9448091726225099
16	The DOJ has not made a transparent effort to pursue allegations of voter fraud in the 2020 election.   That's why I signed onto a letter with 36 others in  @HouseGOP to AG Barr expressing concerns over the stunning lack of action by the DOJ.   The American people want answers. https://t.co/TJhrYNSVNE	Congressman Fred Keller	Sun Dec 06 21:41:35 +0000 2020	[]	980	565	90	https://twitter.com/i/web/status/1335700941018947586	0.9435154936379602
17	The DOJ hasn't found evidence of widespread fraud that could've changed the result of the presidential election, Attorney General William Barr tells the AP https://t.co/Ftcx0NNjvK	CNN Breaking News	Tue Dec 01 20:05:28 +0000 2020	[]	5493	717	732	https://twitter.com/i/web/status/1333864815396343811	0.9405142345951772
18	This is how POS’s rationalize spewing there is no evidence of widespread voter fraud EVERY FREAKIN ELECTION	David Baker Fight Like A Flynn	Mon Dec 07 21:46:03 +0000 2020	[]	9	9	0	https://twitter.com/i/web/status/1336064456321851395	0.9380066594294365
19	“I Saw Voter Fraud!” – Michigan #Election Observer Was Witness to Fraud but Was Kicked Out of TCF When He Started #Recording the Fraud (Video)  https://t.co/10OstNNwLv  #QAnon2018 #QAnon2020 #StopTheSteaI https://t.co/BW13ag0B4r	Zeus 🇺🇸 ⭐⭐⭐ No Collusion, No Obstruction!	Mon Dec 07 17:39:58 +0000 2020	['Election', 'Recording', 'QAnon2018', 'QAnon2020', 'StopTheSteaI']	416	433	3	https://twitter.com/i/web/status/1336002525992988675	0.9379737271538089
QUERY	pennsylvania
0	Sen. Ted Cruz Pledges to Argue Pennsylvania Election Case in Supreme Court if Case Accepted 	𝗦𝘁𝗲𝗮𝗹𝘁𝗵𝗫 🇺🇸	Mon Dec 07 23:05:02 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336084331266236419	0.9608069642138098
1	Sen. Ted Cruz Pledges to Argue Pennsylvania Election Case in Supreme Court if Case Accepted 	Carol #FightLikeAFlynn	Mon Dec 07 23:27:22 +0000 2020	[]	2	2	0	https://twitter.com/i/web/status/1336089952233336835	0.9608069642138098
2	Sen. Ted Cruz Pledges to Argue Pennsylvania Election Case in Supreme Court if Case Accepted 	Cate ⭐️⭐️⭐️	Mon Dec 07 21:49:37 +0000 2020	[]	108	55	7	https://twitter.com/i/web/status/1336065352132751360	0.9608069642138098
3	Sen. Ted Cruz Pledges to Argue Pennsylvania Election Case in Supreme Court if Case Accepted 	mAlex	Mon Dec 07 23:13:37 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336086491286614018	0.9608069642138098
4	BREAKING: Ted Cruz to argue the Pennsylvania election case before the Supreme Court 	Patriot	Mon Dec 07 23:21:57 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336088587314458626	0.9607129441794022
5	BREAKING: Ted Cruz to argue the Pennsylvania election case before the Supreme Court 	Alpha_57🇺🇸🇵🇷🇮🇱	Mon Dec 07 23:40:05 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336093153896624128	0.9607129441794022
6	BREAKING: Ted Cruz to argue the Pennsylvania election case before the Supreme Court  	✟ Right Scoop ✟	Mon Dec 07 20:59:23 +0000 2020	[]	101	26	9	https://twitter.com/i/web/status/1336052709099794442	0.9607129441794022
7	BREAKING: Ted Cruz to argue the Pennsylvania election case before the Supreme Court  	The Right Scoop	Mon Dec 07 20:59:23 +0000 2020	[]	268	82	19	https://twitter.com/i/web/status/1336052711985442816	0.9607129441794022
8	BREAKING: Ted Cruz to argue the Pennsylvania election case before the Supreme Court 	🎄🇺🇸🇺🇸🦅MikeG.USAF (Ret.)🦅🇺🇸🇺🇸🎄	Mon Dec 07 22:43:56 +0000 2020	[]	50	20	4	https://twitter.com/i/web/status/1336079020652253185	0.9607129441794022
9	Justice Alito Moves up Supreme Court Deadline in Key Pennsylvania Mail-In Ballot Case #TWGRP #Election2020results 	COL (R) Stephen Mitchell Parler @ColSDM	Sun Dec 06 18:24:20 +0000 2020	['TWGRP', 'Election2020results']	385	327	5	https://twitter.com/i/web/status/1335651303431745539	0.9606272985948023
10	Ted Cruz to argue Pennsylvania mail-in ballot case if it gets to Supreme...  via @YouTube	Hmidi Mounir	Mon Dec 07 23:16:09 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336087128363634691	0.9604610147318089
11	Ted Cruz to argue Pennsylvania mail-in ballot case if it gets to Supreme...  via @YouTube	Carlos Quinones	Mon Dec 07 22:46:14 +0000 2020	[]	2	1	0	https://twitter.com/i/web/status/1336079599235715074	0.9604610147318089
12	Ted Cruz: I’ll Argue Pennsylvania Election Fraud Case Before the Supreme Court 	Scott ⌛️⚖️🇺🇸	Mon Dec 07 23:35:06 +0000 2020	[]	2	1	0	https://twitter.com/i/web/status/1336091898759536641	0.9602834336094008
13	💥BREAKING: Ted Cruz to argue the Pennsylvania election case before the Supreme Court –  👍🏻👍🏻Ted Cruz has an excellent reputation as a strong constitutionalist.⁦ @TedCruz https://t.co/mbZiHdCmrs	Patriotic Night Owl (PNO) 🇺🇸	Mon Dec 07 22:57:01 +0000 2020	[]	12	8	1	https://twitter.com/i/web/status/1336082311994019841	0.9598046496390373
14	#Cruz #Election2020 #Pennsylvania #SCOTUS BREAKING:  Ted Cruz to argue the Pennsylvania election case before the Supreme Court https://t.co/OiPUyJZZEz	EMPIntelligenceNet©	Mon Dec 07 23:21:11 +0000 2020	['Cruz', 'Election2020', 'Pennsylvania', 'SCOTUS']	0	1	0	https://twitter.com/i/web/status/1336088395236306945	0.9596073560184128
15	Sen. Ted Cruz Pledges to Argue Pennsylvania Election Case in Supreme Court if Case Accepted. Cruz’s extensive resume with the Supreme Court would make him ideal for arguing the appeal. https://t.co/ZMLGogPZOX via @gatewaypundit	goldenretrevor⭐️⭐️⭐️	Mon Dec 07 22:44:11 +0000 2020	[]	146	66	3	https://twitter.com/i/web/status/1336079082304528391	0.959172821543247
16	Ted Cruz agrees to present oral arguments in Pennsylvania mail-in voting case if Supreme Court hears appeal 	Lora Connor ✝️🇺🇸	Mon Dec 07 22:54:01 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336081559762288642	0.959026276966036
17	"Awesome Pennsylvania! TEXAS SENATOR TED CRUZ WILL BE WILLING TO ARGUE THE CASE BEFORE THE SUPREME COURT! "" I have agreed, and told them that, if the court takes the appeal, I will stand ready to present the oral argument. @tedcruz  #FightBack https://t.co/pbuqI0t5hY"	ElizSB	Mon Dec 07 20:42:31 +0000 2020	['FightBack']	6	2	0	https://twitter.com/i/web/status/1336048465957146626	0.9587042204310199
18	Sen. Ted Cruz Pledges to Argue Pennsylvania Election Case in Supreme Court if Case Accepted  By @KristinnFR via @gatewaypundit Published December 7, 2020 #RiggedElection #FightBack #VoterFraud #ElectionFraud   https://t.co/WreVCBXe3V	Neal Houston, Ph.D. 🇺🇲 ⭐⭐⭐	Mon Dec 07 22:06:56 +0000 2020	['RiggedElection', 'FightBack', 'VoterFraud', 'ElectionFraud']	38	24	3	https://twitter.com/i/web/status/1336069708920082434	0.9584199554607228
19	Sen. Ted Cruz Pledges to Argue Pennsylvania Election Case in Supreme Court if Case Accepted 👏👏👇👇👇https://t.co/gj9SCFfG3h	TkMel 💜🇺🇸💜	Mon Dec 07 22:27:11 +0000 2020	[]	6	4	0	https://twitter.com/i/web/status/1336074805938970625	0.9579201921155394
QUERY	trump out
0	This is just so... Trump	kiramadeira 🤔	Mon Dec 07 22:46:41 +0000 2020	[]	0	1	0	https://twitter.com/i/web/status/1336079715279507462	1.0000000000000009
1	Trump won 	Resistance#KBF#Q#Herd-immunityUK.DJT	Mon Dec 07 18:26:03 +0000 2020	[]	2	1	0	https://twitter.com/i/web/status/1336014121398132736	1.0000000000000009
2	TRUMP WON	nancy gao	Sat Dec 05 21:34:39 +0000 2020	[]	75	31	25	https://twitter.com/i/web/status/1335336811758034950	1.0000000000000009
3	Trump is such an isolationist. 	Daniel DePetris	Mon Dec 07 22:05:11 +0000 2020	[]	10	6	1	https://twitter.com/i/web/status/1336069270560780289	0.9995438378190656
4	trump rn 	Ming Solenya Nethery	Mon Dec 07 16:35:17 +0000 2020	[]	181	20	15	https://twitter.com/i/web/status/1335986248780013574	0.9658147922841598
5	@JFKLibrary Trump	Patriot Lee	Mon Dec 07 22:59:25 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336082919698227201	0.9595003593899918
6	@greta Trump	Jim Hawk	Mon Dec 07 23:35:20 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336091956548567041	0.9572862504491965
7	Don't mess with Trump!	*^*Sherry*^*	Mon Dec 07 23:16:02 +0000 2020	[]	0	1	0	https://twitter.com/i/web/status/1336087097728503808	0.9531384983757926
8	TRUMP OR BUST 	Terri Kamp ⭐️⭐️⭐️	Mon Dec 07 23:31:43 +0000 2020	[]	2	1	0	https://twitter.com/i/web/status/1336091044715393024	0.9520129717688803
9	Trump Casinos, Trump Airlines, Trump Water, Trump Steaks, Trump University, and Trump Neckties were all miserable, colossal failures.   What made you think a Trump Presidency would be any different?	Bryan Behar	Mon Dec 07 07:38:11 +0000 2020	[]	1150	205	32	https://twitter.com/i/web/status/1335851083336359936	0.9520006934808392
10	@TomFitton Trump	Samuel Mohr	Mon Dec 07 23:16:45 +0000 2020	[]	0	1	0	https://twitter.com/i/web/status/1336087280071696388	0.9517893416673112
11	stereo trump 4D 	🎷Panther Den 🎷	Sat Nov 07 02:51:11 +0000 2020	[]	5969	1402	149	https://twitter.com/i/web/status/1324907218907631617	0.9505479034595081
12	 Vintage Trump	coquette twenty-one	Sun Aug 16 18:34:09 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1295066332560580609	0.9502909164258477
13	More incompetence from Trump	Matt Boxer	Mon Dec 07 22:11:35 +0000 2020	[]	4	1	0	https://twitter.com/i/web/status/1336070878367453187	0.9454745094355295
14	Florida is Trump	⭐AMERICA⭐	Mon Dec 07 23:15:40 +0000 2020	[]	4	1	0	https://twitter.com/i/web/status/1336087008104640516	0.9415177528339495
15	And Trump. Sick.	kristen johnston	Mon Dec 07 17:11:34 +0000 2020	[]	303	27	7	https://twitter.com/i/web/status/1335995380421414912	0.940303250674888
16	@Shem_Infinite Trump flashback ....	🇺🇸Trump’s BROAD🇺🇸	Mon Dec 07 22:15:08 +0000 2020	[]	104	28	3	https://twitter.com/i/web/status/1336071773662695432	0.9379408542467509
17	Trump’s Legacy #WorstPresidentInHistory	Mj Johnson 🌍	Mon Dec 07 23:23:24 +0000 2020	['WorstPresidentInHistory']	3	1	1	https://twitter.com/i/web/status/1336088955079548930	0.936994586755882
18	Donald Trump.	Senad.kelly@gmail.com	Mon Dec 07 23:26:11 +0000 2020	[]	1	1	0	https://twitter.com/i/web/status/1336089652302929922	0.9360188158169352
19	♥️♥️♥️👍♥️🇺🇸🦅♥️OUR PRESIDENT TRUMP🇺🇸👍	Danielle Marie Reed	Mon Dec 07 18:29:34 +0000 2020	[]	0	1	0	https://twitter.com/i/web/status/1336015005989277696	0.9230577814518912
QUERY	votes fraud
0	Fraud fraud. Audit the middle of the night votes. Stop suit case voting.  The Georgia Vote-Counting Video Was Not 'Debunked.' Not Even Close https://t.co/hn7zX7Y16r	Janie Johnson - 80 million votes 4 Lemonade Stands	Mon Dec 07 15:01:19 +0000 2020	[]	62	35	9	https://twitter.com/i/web/status/1335962600048189442	0.9551301723535719
1	"""For the millions of people who voted for the president, the most persuasive evidence of massive fraud in the election is likely to be the parade of such categorical assurances that there is no evidence of it."" https://t.co/MJ35pB6Y2C"	Kyle Becker	Mon Dec 07 20:25:40 +0000 2020	[]	787	215	15	https://twitter.com/i/web/status/1336044224572219394	0.9316426735567671
2	Why was the audio for the Georgia Hearing on Vote Fraud set to PRIVATE while it was in progress?	Cari Kelemen	Mon Dec 07 18:12:25 +0000 2020	[]	1490	431	30	https://twitter.com/i/web/status/1336010690088349702	0.9251334247177422
3	So far, voting in rigged 11/3 election has not triggered an investigation into voter fraud despite clear &amp; convincing evidence of cheating. Do you think a Senate race will get a different result than Presidential race???	Lin Wood	Mon Dec 07 04:05:52 +0000 2020	[]	4240	913	232	https://twitter.com/i/web/status/1335797650390716427	0.9241380634722738
4	Remember: Trump alleged massive voter fraud in 2016 to explain his popular vote loss, formed a “voter integrity” commission to investigate, then quietly disbanded the commission when it found no such fraud. This is not a new playbook.	Jim Sciutto	Mon Dec 07 13:18:30 +0000 2020	[]	32566	7160	399	https://twitter.com/i/web/status/1335936723352739841	0.9184558077457565
5	"@LLinWood @BrianKempGA @GaSecofState PATRIOTS: OVERTURN Georgia FRAUD ""In 2016 u had only 199,356 mail-in votes. This time u had 1.3M In 2016 u had a 6.4% rejection rate. This time u had a two-tenths of a percent rejection rate. In other words 0.2%...@realDonaldTrump Wins Big 70K+ w signature check alone! #Truth RT!"	Americas Heroes	Mon Dec 07 17:13:04 +0000 2020	['Truth']	856	401	22	https://twitter.com/i/web/status/1335995755417509888	0.9150675136288582
